x y z alpha beta gamma
-0.089032 0.883532 0.633234 1.584130 -0.001163 -0.015298
-0.107161 0.888380 0.665929 1.628017 0.005752 0.008272
-0.112957 0.876362 0.602474 1.541247 -0.000275 0.016989
-0.083188 0.882291 0.625014 1.572421 -0.001934 -0.023800
-0.115361 0.882135 0.627244 1.575322 0.004656 0.019569
-0.103865 0.878320 0.616282 1.559821 -0.002212 0.004891
-0.102156 0.879126 0.615101 1.557977 0.001597 0.001752
-0.097886 0.881550 0.627010 1.574713 0.001180 -0.004531
-0.111404 0.881515 0.629961 1.579208 0.002042 0.014835
-0.101228 0.883412 0.635028 1.586476 0.003378 0.000166
-0.109649 0.881227 0.630362 1.579717 0.000743 0.012762
-0.096142 0.880617 0.624035 1.570538 0.000592 -0.007129
-0.091864 0.880084 0.620823 1.566036 0.000782 -0.012994
-0.113268 0.882778 0.629343 1.579095 0.000463 0.018314
-0.103530 0.879046 0.620516 1.565322 -0.002337 0.004715
-0.115857 0.879365 0.619406 1.564195 -0.001652 0.022916
-0.102883 0.879432 0.624888 1.571922 -0.002104 0.003563
-0.105295 0.879597 0.617846 1.561559 -0.003515 0.007396
-0.104180 0.879230 0.619152 1.563274 -0.001781 0.005545
-0.091430 0.878574 0.626655 1.574511 -0.000915 -0.013795
-0.101642 0.879346 0.623715 1.570216 0.000419 0.001678
-0.103517 0.878268 0.623084 1.568982 0.001754 0.004715
-0.102260 0.879529 0.625225 1.572809 0.000002 0.002829
-0.097028 0.880704 0.624651 1.571801 0.002939 -0.005773
-0.096783 0.878901 0.626916 1.575067 -0.001670 -0.005550
-0.101288 0.882228 0.628424 1.578142 0.001117 0.001140
-0.099415 0.880332 0.623319 1.569621 0.000732 -0.001783
-0.105882 0.881456 0.625373 1.573477 0.000572 0.008660
-0.099967 0.879339 0.620771 1.565595 -0.001286 -0.000519
-0.097491 0.880766 0.629263 1.579220 0.002469 -0.004700
-0.099855 0.880939 0.626344 1.574865 0.000178 -0.000560
