x y z alpha beta gamma
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.077554 0.855928 0.799815 1.740301 -0.016041 -0.216184
0.077857 0.852950 0.801232 1.743269 -0.015237 -0.218270
0.077609 0.857057 0.799233 1.738949 -0.016666 -0.216025
0.076983 0.854238 0.801255 1.743408 -0.015841 -0.216301
0.077185 0.854518 0.800083 1.740966 -0.017071 -0.216651
0.080383 0.852354 0.799646 1.740930 -0.015374 -0.222810
0.078029 0.852229 0.800336 1.742201 -0.013210 -0.219134
0.076993 0.852872 0.802558 1.745341 -0.014448 -0.217274
0.077892 0.855325 0.796761 1.735978 -0.016963 -0.217289
0.076179 0.855672 0.798981 1.739319 -0.017494 -0.214816
0.077333 0.854065 0.802587 1.745302 -0.014947 -0.217058
0.077788 0.854048 0.802151 1.744122 -0.017824 -0.218169
0.082703 0.853114 0.800047 1.741289 -0.013563 -0.225449
0.080070 0.852431 0.802326 1.744954 -0.012799 -0.222085
0.077653 0.857452 0.795719 1.734392 -0.019339 -0.216182
0.080446 0.854784 0.797192 1.736885 -0.018361 -0.221224
0.076289 0.853531 0.800490 1.742290 -0.016524 -0.215887
0.077187 0.857216 0.801753 1.743744 -0.016054 -0.215209
0.078552 0.856594 0.798099 1.738141 -0.017547 -0.217993
0.079976 0.855395 0.795141 1.733967 -0.016712 -0.220329
0.079673 0.850547 0.803354 1.747166 -0.011686 -0.221731
0.075783 0.858045 0.799867 1.740564 -0.018124 -0.213863
0.079215 0.852656 0.799387 1.740808 -0.015724 -0.220227
0.075648 0.856429 0.802107 1.744410 -0.015399 -0.213877
0.076803 0.856825 0.802436 1.744735 -0.012294 -0.215550
0.071298 0.857287 0.801923 1.744375 -0.015288 -0.207835
0.079189 0.854536 0.800180 1.741253 -0.017093 -0.219853
0.078969 0.851983 0.802146 1.744662 -0.016965 -0.220308
0.071102 0.860375 0.803457 1.745840 -0.013278 -0.206578
0.071684 0.859583 0.803511 1.746000 -0.014684 -0.207764
0.071868 0.859062 0.797700 1.737787 -0.015344 -0.208351
0.078802 0.855816 0.800024 1.741010 -0.014145 -0.218712
0.079537 0.854701 0.801636 1.744047 -0.013948 -0.220099
0.073016 0.858578 0.799606 1.740497 -0.017068 -0.210757
0.078823 0.855976 0.797445 1.738011 -0.014199 -0.218579
0.085408 0.853508 0.797490 1.738186 -0.018909 -0.228744
0.075424 0.854551 0.796387 1.736837 -0.017074 -0.215254
0.077631 0.856121 0.800155 1.741499 -0.016240 -0.217736
0.080073 0.850850 0.805416 1.748860 -0.014075 -0.222033
0.073373 0.856613 0.798133 1.739017 -0.017620 -0.212020
0.081128 0.854525 0.799183 1.740502 -0.016347 -0.222581
0.081569 0.854257 0.799244 1.740530 -0.016498 -0.223101
0.081758 0.854167 0.799235 1.740497 -0.016614 -0.223315
0.081871 0.854125 0.799216 1.740472 -0.016668 -0.223412
0.081972 0.854080 0.799226 1.740470 -0.016740 -0.223505
0.082074 0.854035 0.799238 1.740469 -0.016821 -0.223606
0.082147 0.854002 0.799259 1.740478 -0.016898 -0.223674
0.082267 0.850002 0.804795 1.748261 -0.014216 -0.225157
0.082262 0.850020 0.804803 1.748257 -0.014288 -0.225133
0.073272 0.855795 0.808098 1.752233 -0.013586 -0.212225
0.068614 0.857254 0.805294 1.748581 -0.014800 -0.205198
0.072063 0.857698 0.803913 1.746616 -0.016675 -0.209484
0.077854 0.860554 0.791601 1.729430 -0.017130 -0.216101
0.080209 0.853352 0.799339 1.740343 -0.016885 -0.221539
0.078521 0.856026 0.801671 1.743418 -0.011581 -0.218049
0.077000 0.857160 0.795648 1.735123 -0.019093 -0.216261
0.078042 0.859082 0.795604 1.735076 -0.014221 -0.216683
0.074627 0.856354 0.797514 1.737779 -0.018374 -0.213236
0.075958 0.858036 0.797225 1.737445 -0.013767 -0.214161
0.083778 0.854186 0.794103 1.733213 -0.019561 -0.225992
0.074851 0.856122 0.798670 1.739655 -0.013504 -0.213118
0.075766 0.857714 0.793253 1.732478 -0.016697 -0.214004
0.085846 0.852029 0.795297 1.735310 -0.014865 -0.228863
0.072512 0.858945 0.788777 1.726539 -0.014926 -0.209445
0.074700 0.856746 0.811481 1.756834 -0.013031 -0.212697
0.076766 0.853676 0.812178 1.757790 -0.013141 -0.216793
0.075743 0.858732 0.800091 1.741495 -0.015238 -0.213191
0.078686 0.854869 0.799887 1.741433 -0.015779 -0.218666
0.074847 0.860188 0.788831 1.726429 -0.018091 -0.211909
0.076923 0.854764 0.807960 1.752034 -0.013680 -0.216327
0.079303 0.855160 0.812775 1.758260 -0.011522 -0.219090
0.076244 0.856905 0.797576 1.737965 -0.019720 -0.215000
0.074888 0.855572 0.801284 1.743437 -0.014274 -0.213485
0.078549 0.858324 0.797879 1.738441 -0.016417 -0.217011
0.084753 0.849833 0.804950 1.748512 -0.012864 -0.227880
0.070961 0.861264 0.798521 1.739454 -0.013969 -0.206089
0.077441 0.856755 0.804605 1.747351 -0.015124 -0.216290
0.080962 0.855381 0.799742 1.740905 -0.013915 -0.220883
0.079161 0.854400 0.801774 1.743365 -0.018405 -0.219166
0.077369 0.853371 0.802288 1.744411 -0.014542 -0.217393
0.079193 0.858082 0.803390 1.746157 -0.010778 -0.217069
0.082654 0.852851 0.795783 1.736115 -0.014556 -0.223430
0.079497 0.850663 0.809559 1.754070 -0.013663 -0.220938
0.073336 0.855229 0.805254 1.748187 -0.017703 -0.211811
0.075220 0.859946 0.805723 1.748259 -0.014527 -0.211610
0.073163 0.859198 0.804875 1.747980 -0.011498 -0.209620
0.078881 0.854618 0.808569 1.752244 -0.014205 -0.218191
0.082015 0.853369 0.801492 1.743703 -0.014170 -0.222546
0.080389 0.856696 0.800342 1.741841 -0.016043 -0.219022
0.076184 0.857999 0.807441 1.750573 -0.014722 -0.213897
0.076182 0.854878 0.799008 1.739460 -0.019134 -0.215472
0.079551 0.855688 0.796831 1.737394 -0.015269 -0.218582
0.082636 0.850436 0.805706 1.749092 -0.014002 -0.224282
0.075134 0.858111 0.806716 1.748848 -0.018280 -0.212644
0.077871 0.854597 0.794273 1.733545 -0.020204 -0.217607
0.085573 0.854273 0.803029 1.744384 -0.018197 -0.226557
0.074448 0.856670 0.800949 1.742860 -0.012961 -0.212079
0.074443 0.859997 0.804546 1.746651 -0.014270 -0.210638
0.063161 0.864577 0.806964 1.749378 -0.013793 -0.195413
0.078974 0.857215 0.796208 1.735805 -0.017177 -0.217302
0.076063 0.857989 0.800343 1.741223 -0.013916 -0.212998
0.067142 0.863823 0.802566 1.742884 -0.018456 -0.201162
0.076821 0.856260 0.793004 1.732175 -0.017345 -0.215382
0.073095 0.856210 0.805866 1.748567 -0.015887 -0.210853
0.071868 0.865639 0.791050 1.727840 -0.018744 -0.206030
0.084884 0.853644 0.797264 1.737983 -0.013621 -0.225638
0.085464 0.854001 0.794541 1.734222 -0.013922 -0.226283
0.075388 0.856418 0.796613 1.735948 -0.018317 -0.214189
0.067617 0.863822 0.803455 1.744015 -0.017315 -0.201697
0.079094 0.857669 0.787426 1.724396 -0.018373 -0.217854
0.076101 0.858342 0.797927 1.737028 -0.019908 -0.214308
0.076087 0.858352 0.797803 1.736949 -0.019797 -0.214298
0.076071 0.858360 0.797736 1.736898 -0.019762 -0.214286
0.076057 0.858369 0.797690 1.736857 -0.019756 -0.214275
0.076044 0.858378 0.797653 1.736818 -0.019761 -0.214263
0.079029 0.857721 0.800475 1.741358 -0.013367 -0.217024
0.069985 0.858093 0.808164 1.750932 -0.016913 -0.206923
0.072130 0.861854 0.803561 1.744615 -0.013792 -0.207523
0.073209 0.858154 0.801018 1.742032 -0.014965 -0.210285
0.076792 0.859147 0.795852 1.735470 -0.013216 -0.213668
0.077066 0.854877 0.801858 1.742978 -0.015826 -0.216265
0.078908 0.858081 0.792985 1.731812 -0.014579 -0.217488
0.072032 0.856108 0.807663 1.750591 -0.012200 -0.209463
0.082209 0.855681 0.791739 1.729996 -0.015304 -0.222625
0.076608 0.862903 0.795833 1.734303 -0.014097 -0.212871
0.076488 0.860518 0.790969 1.728845 -0.014993 -0.213812
0.078430 0.854970 0.811484 1.755469 -0.011299 -0.217530
0.081078 0.852264 0.803421 1.745819 -0.012025 -0.221964
0.073225 0.858957 0.799269 1.739413 -0.017217 -0.211154
0.078211 0.858242 0.800328 1.740300 -0.016062 -0.217033
0.071337 0.855175 0.812515 1.757101 -0.012126 -0.209002
0.063711 0.863819 0.798008 1.736995 -0.015787 -0.197504
0.076066 0.857805 0.797158 1.736942 -0.015416 -0.214304
0.079275 0.857253 0.799578 1.739617 -0.013446 -0.218750
0.084676 0.851942 0.798302 1.739011 -0.014357 -0.227200
0.077802 0.857370 0.794459 1.733125 -0.018223 -0.217515
0.067974 0.856647 0.807527 1.750083 -0.011296 -0.203892
0.079413 0.855817 0.798778 1.738533 -0.014616 -0.219498
0.074424 0.856212 0.801120 1.741922 -0.013421 -0.212915
0.070187 0.860609 0.795891 1.734274 -0.016531 -0.206683
0.084401 0.852518 0.801390 1.742546 -0.015810 -0.227520
0.072498 0.855838 0.799795 1.740455 -0.019163 -0.211986
0.078095 0.854812 0.800807 1.741325 -0.015740 -0.219015
0.074526 0.858566 0.796342 1.735166 -0.018045 -0.213566
0.071822 0.856401 0.806289 1.748155 -0.013579 -0.209989
0.078118 0.855405 0.801073 1.741750 -0.013953 -0.218349
0.077040 0.855300 0.804292 1.745522 -0.013120 -0.216916
0.071252 0.854926 0.806170 1.748596 -0.014200 -0.209516
0.078395 0.855146 0.807069 1.749310 -0.013411 -0.218528
0.069493 0.853106 0.809614 1.753674 -0.009580 -0.206797
0.076354 0.853066 0.810906 1.754876 -0.008731 -0.215730
0.074165 0.853279 0.806041 1.749142 -0.016291 -0.214208
0.080181 0.855563 0.799479 1.739911 -0.014863 -0.221129
0.078484 0.855250 0.802585 1.743805 -0.015071 -0.219039
0.079101 0.854595 0.804205 1.746282 -0.015442 -0.220068
0.076992 0.855289 0.801291 1.742404 -0.014466 -0.217399
0.072747 0.861387 0.789918 1.726668 -0.018289 -0.210574
0.076250 0.851982 0.809396 1.753470 -0.014269 -0.217002
0.066506 0.858527 0.809911 1.753411 -0.015896 -0.202983
0.076502 0.854016 0.805474 1.748160 -0.013668 -0.216690
0.082505 0.855488 0.798444 1.738658 -0.013538 -0.223958
0.082752 0.855211 0.798939 1.739051 -0.014189 -0.224274
0.073779 0.859141 0.802440 1.743113 -0.011898 -0.211373
0.073669 0.859213 0.802417 1.743067 -0.012018 -0.211247
0.073606 0.859248 0.802398 1.743033 -0.012093 -0.211173
0.073572 0.859268 0.802373 1.742992 -0.012160 -0.211138
0.073548 0.859285 0.802340 1.742947 -0.012220 -0.211110
0.073529 0.859300 0.802305 1.742900 -0.012274 -0.211086
0.073513 0.859314 0.802270 1.742852 -0.012327 -0.211066
0.073498 0.859327 0.802234 1.742804 -0.012382 -0.211047
0.073483 0.859339 0.802198 1.742757 -0.012435 -0.211029
0.078429 0.859670 0.796933 1.736172 -0.017525 -0.218277
0.073725 0.855050 0.809239 1.752560 -0.012889 -0.212865
0.075432 0.855312 0.798164 1.738437 -0.014512 -0.214801
0.080178 0.856403 0.799289 1.739202 -0.014858 -0.221292
0.072506 0.854208 0.805003 1.747228 -0.013517 -0.211442
0.083744 0.852691 0.804576 1.746400 -0.011328 -0.225962
0.070336 0.855874 0.808285 1.751039 -0.013934 -0.208374
0.075991 0.854939 0.798070 1.738168 -0.015862 -0.216107
0.072662 0.861714 0.791968 1.728835 -0.019031 -0.210679
0.080025 0.852862 0.803846 1.745634 -0.013404 -0.221348
0.079909 0.853084 0.803363 1.745231 -0.012870 -0.221106
0.081845 0.849536 0.810832 1.755520 -0.013157 -0.224809
0.078380 0.855400 0.804463 1.746116 -0.018015 -0.220142
0.078402 0.855399 0.804419 1.746067 -0.018048 -0.220157
0.078420 0.855397 0.804388 1.746027 -0.018097 -0.220170
0.078435 0.855394 0.804360 1.745989 -0.018152 -0.220182
0.078420 0.855407 0.804336 1.745954 -0.018211 -0.220161
0.078397 0.855427 0.804307 1.745916 -0.018266 -0.220128
0.078371 0.855447 0.804281 1.745879 -0.018324 -0.220094
0.078344 0.855466 0.804256 1.745844 -0.018385 -0.220059
0.078318 0.855486 0.804230 1.745808 -0.018443 -0.220025
