x y z alpha beta gamma
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.080374 0.855320 0.801813 1.742285 -0.016701 -0.217582
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.083337 0.853778 0.801019 1.741601 -0.015529 -0.220999
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.086885 0.851879 0.797672 1.738203 -0.015835 -0.225785
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.083713 0.856251 0.802444 1.742875 -0.016403 -0.220171
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.084077 0.850825 0.800320 1.742592 -0.012757 -0.223597
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.079637 0.853894 0.802727 1.744574 -0.013982 -0.217804
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.080228 0.851756 0.796167 1.736721 -0.015986 -0.220083
0.086619 0.846056 0.800646 1.743286 -0.012595 -0.229003
0.086068 0.852150 0.799260 1.741661 -0.010803 -0.224451
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.083188 0.855388 0.809111 1.750629 -0.016852 -0.220230
0.080171 0.859253 0.799693 1.740898 -0.013230 -0.214893
0.071875 0.863730 0.801167 1.742179 -0.014742 -0.204745
0.077854 0.862252 0.794584 1.733945 -0.015832 -0.211779
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.084023 0.857161 0.799082 1.740489 -0.012578 -0.220013
0.084159 0.857119 0.799019 1.740454 -0.012475 -0.220110
0.084276 0.857077 0.798977 1.740434 -0.012392 -0.220198
0.084396 0.857035 0.798932 1.740409 -0.012320 -0.220293
0.084485 0.857006 0.798895 1.740391 -0.012247 -0.220354
0.084509 0.857017 0.798849 1.740365 -0.012176 -0.220341
0.078993 0.861490 0.795637 1.735460 -0.015120 -0.213194
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.081291 0.862449 0.803235 1.743112 -0.016864 -0.214633
0.074606 0.865573 0.800606 1.739322 -0.019617 -0.206915
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.081306 0.853578 0.795855 1.736523 -0.015377 -0.219744
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.083415 0.852011 0.802553 1.744931 -0.012945 -0.221777
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.087882 0.849849 0.804289 1.745277 -0.017894 -0.227903
0.084110 0.855210 0.800678 1.741353 -0.015283 -0.221069
0.081961 0.853097 0.802429 1.744199 -0.015310 -0.220420
0.080155 0.857215 0.802978 1.741490 -0.021914 -0.216800
0.082855 0.851672 0.796070 1.737165 -0.013840 -0.221603
0.078309 0.855584 0.804549 1.746000 -0.016360 -0.215260
0.078492 0.863062 0.803624 1.743572 -0.017346 -0.210970
0.078263 0.853876 0.799174 1.740315 -0.015133 -0.216271
0.079269 0.855097 0.802916 1.743204 -0.018698 -0.217124
0.083461 0.858040 0.805706 1.746673 -0.016423 -0.218280
0.080335 0.855347 0.807872 1.749219 -0.016712 -0.217271
0.079022 0.859750 0.794836 1.733822 -0.018290 -0.213891
0.079433 0.852823 0.801166 1.742618 -0.015611 -0.217855
0.080226 0.854588 0.792805 1.733479 -0.014176 -0.217609
0.078617 0.862118 0.804219 1.742848 -0.020124 -0.212023
0.079123 0.855047 0.797139 1.739343 -0.012453 -0.216039
0.074195 0.866619 0.803033 1.741013 -0.021400 -0.205622
0.079495 0.856872 0.806021 1.745694 -0.019830 -0.215560
0.083958 0.852336 0.802573 1.743785 -0.015034 -0.221433
0.077949 0.856568 0.796921 1.738698 -0.012858 -0.214008
0.079055 0.860357 0.812329 1.754164 -0.015652 -0.212177
0.083849 0.854684 0.801610 1.740327 -0.020666 -0.220949
0.079513 0.860613 0.806917 1.747006 -0.017320 -0.213083
0.080187 0.854859 0.805596 1.745560 -0.019109 -0.217588
0.081832 0.857555 0.807641 1.748326 -0.016287 -0.216637
0.085169 0.847407 0.810906 1.753817 -0.014955 -0.225156
0.081436 0.857751 0.802867 1.742217 -0.018282 -0.216433
0.079937 0.859736 0.806974 1.744949 -0.022105 -0.214462
0.082659 0.854230 0.803403 1.743830 -0.017364 -0.219406
0.077177 0.860194 0.807850 1.749949 -0.014189 -0.210669
0.080510 0.861143 0.802580 1.740837 -0.020739 -0.214064
0.082868 0.849067 0.806350 1.745896 -0.021086 -0.223082
0.080881 0.856921 0.812601 1.750354 -0.023922 -0.216922
0.080462 0.862848 0.804433 1.742575 -0.020560 -0.212821
0.080556 0.862749 0.804521 1.742671 -0.020545 -0.212930
0.082300 0.854220 0.799598 1.739307 -0.018653 -0.219481
0.082782 0.848177 0.808070 1.747400 -0.022111 -0.223715
0.082934 0.848111 0.808037 1.747408 -0.021965 -0.223811
0.083062 0.848054 0.808011 1.747416 -0.021845 -0.223895
0.083159 0.848007 0.807999 1.747429 -0.021756 -0.223961
0.083239 0.847960 0.808003 1.747450 -0.021700 -0.224026
0.083301 0.847914 0.808024 1.747477 -0.021680 -0.224090
0.083346 0.847869 0.808061 1.747513 -0.021692 -0.224154
0.083363 0.847829 0.808115 1.747556 -0.021739 -0.224204
0.083353 0.847796 0.808186 1.747607 -0.021820 -0.224244
0.083308 0.847773 0.808275 1.747666 -0.021934 -0.224261
